,ale_score,abe_score,u_score,seq_score,u_average,a_average,g_average,c_average,BSP,BSlen,sRNA_MFE,mRNA_MFE,FA,After_BSP_sRNA_Ale,After_BSP_sRNA_Abe,Before_BSP_sRNA_Ale,Before_BSP_sRNA_Abe,After_BSP_sRNA_len,Before_BSP_sRNA_len,HE,is_upreg
409,-0.2641577522,-0.2108867925,2.355555556,0.02720754717,0.3396226415,0.2735849057,0.1886792453,0.1981132075,293,20,-1.299999952,-5.900000095,247.1665906,-0.24059708241170974,-0.219504132231405,-0.14084507042253522,-0.23666666666666666,55.0,30.0,-13.15,1
410,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,-46,9,0.0,0.0,64.05634332,-0.18487120441059876,-0.3016036036036036,1.0,1.0,111.0,0.0,-15.52,1
411,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,57,12,0.0,0.0,104.4355702,-0.06896551724137931,-0.3717948717948718,-0.29056119921661205,-0.1677714285714286,39.0,70.0,-17.83,1
412,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,181,15,-0.8000000119,0.0,152.4106026,-0.06896551724137931,-0.4142857142857143,-0.29007903640798227,-0.16560563380281693,35.0,71.0,-24.15,1
413,-0.2641577522,-0.2108867925,2.355555556,0.02720754717,0.3396226415,0.2735849057,0.1886792453,0.1981132075,-36,14,-2.099999905,0.0,135.9368358,-0.078125,-0.4129032258064516,-0.5652950991944042,-0.10798548094373867,31.0,58.0,-8.21,1
414,-0.2641577522,-0.2108867925,2.355555556,0.02720754717,0.3396226415,0.2735849057,0.1886792453,0.1981132075,510,13,-0.6000000238,-0.3000000119,117.8168561,-0.30294873071698497,-0.19786885245901636,-0.16129032258064516,-0.21379310344827587,61.0,29.0,-12.12,1
415,-0.2641577522,-0.2108867925,2.355555556,0.02720754717,0.3396226415,0.2735849057,0.1886792453,0.1981132075,-61,19,-0.6000000238,-1.799999952,228.0512533,-0.22766025224097397,-0.2237513873473918,-0.23734885803851322,-0.2109375,53.0,32.0,-12.3,1
416,-0.2641577522,-0.2108867925,2.355555556,0.02720754717,0.3396226415,0.2735849057,0.1886792453,0.1981132075,691,9,0.0,0.0,65.08867209,-0.078125,-0.4129032258064516,-0.5828343236432157,-0.1056923076923077,31.0,65.0,-9.71,1
417,-0.2641577522,-0.2108867925,2.355555556,0.02720754717,0.3396226415,0.2735849057,0.1886792453,0.1981132075,-15,19,-1.299999952,-1.200000048,226.7930081,-0.24059708241170974,-0.219504132231405,-0.14084507042253522,-0.23666666666666666,55.0,30.0,-23.95,1
418,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,263,17,-2.0,-3.200000048,185.4618344,-0.13361892665705122,-0.38768115942028986,-0.4483076539030772,-0.157,46.0,58.0,-14.93,1
419,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,48,16,0.0,0.0,168.2237863,-0.20080904089316684,-0.2976063829787235,-0.24390243902439027,-0.3416666666666666,80.0,24.0,-13.8,1
420,-0.1587663521,-0.3111648352,1.93030303,0.04249450549,0.3626373626,0.2197802198,0.1868131868,0.2307692308,276,5,0.0,0.0,27.97941242,-0.12200378216479744,-0.415,-0.4595173570783327,-0.13214285714285715,50.0,35.0,-6.8,1
421,-0.1587663521,-0.3111648352,1.93030303,0.04249450549,0.3626373626,0.2197802198,0.1868131868,0.2307692308,713,6,0.0,0.0,35.99411488,-0.16953648484748154,-0.35742753623188406,-0.4337011145405927,-0.12315789473684212,46.0,38.0,-6.3,1
